date,deaths_total,natl_total,natl_ratio,month,region,deaths_total_lag1,deaths_total_lag12,ratio_25_49,ratio_50_64,ratio_65_69,ratio_65_plus,ratio_70_plus,ratio_75_plus,ratio_80_plus,ratio_85_plus,year,month_sin,month_cos,deaths_rolling3,deaths_diff1,cause_cerebro,cause_cancer,cause_pneumonia,cause_cardio,event_dummy,is_winter,is_summer,season_spring,season_summer,season_winter,expected_deaths,excess_mortality,year_sq,era_2000s,era_2010s,era_2020s,rolling_std_3,rolling_std_6,diff2,winter_event,summer_event,elderly65_winter,elderly75_winter,elderly85_winter
1998-01-01,949,20478.0,0.9090335150065352,1,대구광역시,990.0,1009.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.4999999999999999,0.8660254037844386,,,125.07172485309368,196.45972977715388,10.478513731825524,28.13526570048309,0,1,0,0,0,1,1550.173076923077,-38.78102941358905,3992004,0,0,0,,,,0,0,5.3,1.6,
1998-01-01,949,20478.0,0.9090335150065352,1,대구광역시,990.0,1009.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.4999999999999999,0.8660254037844386,,,125.07172485309368,196.45972977715388,10.478513731825524,28.13526570048309,0,1,0,0,0,1,1550.173076923077,-38.78102941358905,3992004,0,0,0,,,,0,0,5.3,1.6,
1998-02-01,844,19095.0,0.8476411255518015,2,대구광역시,949.0,851.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.8660254037844385,0.5000000000000001,,,115.34004493605254,176.49412177575013,7.886268174474959,28.3728946337642,0,1,0,0,0,1,1387.8461538461538,-39.18634297749695,3992004,0,0,0,60.6217782649107,,-105.0,0,0,5.3,1.6,
1998-02-01,844,19095.0,0.8476411255518015,2,대구광역시,949.0,851.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.8660254037844385,0.5000000000000001,,,115.34004493605254,176.49412177575013,7.886268174474959,28.3728946337642,0,1,0,0,0,1,1387.8461538461538,-39.18634297749695,3992004,0,0,0,60.6217782649107,,105.0,0,0,5.3,1.6,
1998-03-01,991,20802.0,0.9234161138375792,3,대구광역시,844.0,966.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,1.0,6.123233995736766e-17,,-105.0,132.14137573453164,199.5634321810844,9.091114701130856,30.654132393262827,0,0,0,1,0,0,1547.923076923077,-35.978730805545894,3992004,0,0,0,84.870489570875,,147.0,0,0,0.0,0.0,
1998-03-01,991,20802.0,0.9234161138375792,3,대구광역시,844.0,966.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,1.0,6.123233995736766e-17,,-105.0,132.14137573453164,199.5634321810844,9.091114701130856,30.654132393262827,0,0,0,1,0,0,1547.923076923077,-35.978730805545894,3992004,0,0,0,84.870489570875,67.72296508570783,-147.0,0,0,0.0,0.0,
1998-04-01,910,20338.0,0.902818811807936,4,대구광역시,991.0,872.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.8660254037844387,-0.4999999999999997,928.0,147.0,130.04666436225372,193.8192665379891,9.054604200323102,30.654132393262827,0,0,0,1,0,0,1425.826923076923,-36.177386941450976,3992004,0,0,0,46.76537180435969,67.17365555037183,-81.0,0,0,0.0,0.0,
1998-04-01,910,20338.0,0.902818811807936,4,대구광역시,991.0,872.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.8660254037844387,-0.4999999999999997,928.0,147.0,130.04666436225372,193.8192665379891,9.054604200323102,30.654132393262827,0,0,0,1,0,0,1425.826923076923,-36.177386941450976,3992004,0,0,0,46.76537180435969,65.85438481984325,81.0,0,0,0.0,0.0,
1998-05-01,893,20376.0,0.9045056598189845,5,대구광역시,910.0,969.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.4999999999999999,-0.8660254037844386,915.0,-81.0,126.33727964051158,199.2391647657484,8.616478190630048,29.75114244679462,0,0,0,1,0,0,1412.1153846153843,-36.76154160424894,3992004,0,0,0,9.814954576223654,57.839144760850914,-17.0,0,0,0.0,0.0,
1998-05-01,893,20376.0,0.9045056598189845,5,대구광역시,910.0,969.0,42.3,12.3,2.2,5.3,3.0,1.6,0.7,,1998,0.4999999999999999,-0.8660254037844386,915.0,-81.0,126.33727964051158,199.2391647657484,8.616478190630048,29.75114244679462,0,0,0,1,0,0,1412.1153846153843,-36.76154160424894,3992004,0,0,0,9.814954576223654,46.83873041262612,17.0,0,0,0.0,0.0,
